,tile_name,left,bottom,right,top
116,16DZ1,190000.0,525000.0,195000.0,531250.0
117,22BZ2,235000.0,512500.0,240000.0,518750.0
118,45FZ2,175000.0,412500.0,180000.0,418750.0
119,51DN1,150000.0,381250.0,155000.0,387500.0
120,07HN2,255000.0,581250.0,260000.0,587500.0
121,07AZ2,225000.0,587500.0,230000.0,593750.0
122,30EZ1,80000.0,462500.0,85000.0,468750.0
123,30DN2,75000.0,456250.0,80000.0,462500.0
124,69GN2,195000.0,306250.0,200000.0,312500.0
125,22CZ2,225000.0,500000.0,230000.0,506250.0
126,34EZ2,245000.0,462500.0,250000.0,468750.0
127,01DZ1,150000.0,600000.0,155000.0,606250.0
128,18CZ1,260000.0,525000.0,265000.0,531250.0
129,28BN2,235000.0,493750.0,240000.0,500000.0
130,39GN1,160000.0,431250.0,165000.0,437500.0
131,01GZ2,165000.0,600000.0,170000.0,606250.0
132,08DZ2,275000.0,575000.0,280000.0,581250.0
133,65HN1,50000.0,387500.0,55000.0,393750.0
134,25CN1,100000.0,481250.0,105000.0,487500.0
135,33BZ1,190000.0,462500.0,195000.0,468750.0
136,39HZ2,175000.0,425000.0,180000.0,431250.0
137,52CZ1,180000.0,375000.0,185000.0,381250.0
138,41BZ1,230000.0,437500.0,235000.0,443750.0
139,38FN1,130000.0,443750.0,135000.0,450000.0
140,45BN1,150000.0,418750.0,155000.0,425000.0
141,45HZ1,170000.0,400000.0,175000.0,406250.0
142,10GN1,160000.0,556250.0,165000.0,562500.0
143,57EN1,160000.0,368750.0,165000.0,375000.0
144,20FN1,170000.0,518750.0,175000.0,525000.0
145,29AZ2,265000.0,487500.0,270000.0,493750.0
146,21CN2,185000.0,506250.0,190000.0,512500.0
147,33DZ1,190000.0,450000.0,195000.0,456250.0
148,11AZ2,185000.0,562500.0,190000.0,568750.0
149,06BN1,190000.0,593750.0,195000.0,600000.0
150,40CN2,185000.0,431250.0,190000.0,437500.0
151,19BN1,110000.0,518750.0,115000.0,525000.0
152,52FN1,210000.0,393750.0,215000.0,400000.0
153,34BZ1,230000.0,462500.0,235000.0,468750.0
154,32DN2,155000.0,456250.0,160000.0,462500.0
155,21GN2,205000.0,506250.0,210000.0,512500.0
156,52BZ2,195000.0,387500.0,200000.0,393750.0
157,65DZ2,35000.0,381250.0,40000.0,387500.0
158,33AN1,180000.0,468750.0,185000.0,475000.0
159,17EZ1,240000.0,537500.0,245000.0,543750.0
160,40FZ1,210000.0,437500.0,215000.0,443750.0
161,52CN2,185000.0,381250.0,190000.0,387500.0
162,12CN2,225000.0,556250.0,230000.0,562500.0
163,11GN2,205000.0,556250.0,210000.0,562500.0
164,26AN2,145000.0,493750.0,150000.0,500000.0
165,40EZ2,205000.0,437500.0,210000.0,443750.0
166,52BN2,195000.0,393750.0,200000.0,400000.0
167,17GN2,245000.0,531250.0,250000.0,537500.0
168,27BZ1,190000.0,487500.0,195000.0,493750.0
169,06FZ2,215000.0,587500.0,220000.0,593750.0
170,17AZ2,225000.0,537500.0,230000.0,543750.0
171,13BN2,275000.0,568750.0,280000.0,575000.0
172,51AZ2,145000.0,387500.0,150000.0,393750.0
173,13AN1,260000.0,568750.0,265000.0,575000.0
174,03GZ2,245000.0,600000.0,250000.0,606250.0
175,26EZ2,165000.0,487500.0,170000.0,493750.0
176,10EN1,160000.0,568750.0,165000.0,575000.0
177,32AZ2,145000.0,462500.0,150000.0,468750.0
178,27EN1,200000.0,493750.0,205000.0,500000.0
179,40AN2,185000.0,443750.0,190000.0,450000.0
180,28EN1,240000.0,493750.0,245000.0,500000.0
181,52EN2,205000.0,393750.0,210000.0,400000.0
182,01CZ1,140000.0,600000.0,145000.0,606250.0
183,44HN1,130000.0,406250.0,135000.0,412500.0
184,12AN1,220000.0,568750.0,225000.0,575000.0
185,11AZ1,180000.0,562500.0,185000.0,568750.0
186,49AN1,60000.0,393750.0,65000.0,400000.0
187,67HZ2,55000.0,356250.0,60000.0,362500.0
188,20FZ1,170000.0,512500.0,175000.0,518750.0
189,52BN1,190000.0,393750.0,195000.0,400000.0
190,23AZ2,265000.0,512500.0,270000.0,518750.0
191,34GZ2,245000.0,450000.0,250000.0,456250.0
192,44CN2,105000.0,406250.0,110000.0,412500.0
193,51EZ2,165000.0,387500.0,170000.0,393750.0
194,65CN2,25000.0,387500.0,30000.0,393750.0
195,05HN1,170000.0,581250.0,175000.0,587500.0
196,69CN2,175000.0,306250.0,180000.0,312500.0
197,38AN2,105000.0,443750.0,110000.0,450000.0
198,57HN1,170000.0,356250.0,175000.0,362500.0
199,06EZ2,205000.0,587500.0,210000.0,593750.0
200,38FN2,135000.0,443750.0,140000.0,450000.0
201,64GN2,45000.0,412500.0,50000.0,418750.0
202,31EZ2,125000.0,462500.0,130000.0,468750.0
203,65CN1,20000.0,387500.0,25000.0,393750.0
204,45CN2,145000.0,406250.0,150000.0,412500.0
205,39DZ2,155000.0,425000.0,160000.0,431250.0
206,14CN2,105000.0,531250.0,110000.0,537500.0
207,01HN2,175000.0,606250.0,180000.0,612500.0
208,29CN2,265000.0,481250.0,270000.0,487500.0
209,09DN2,115000.0,556250.0,120000.0,562500.0
210,12FN1,250000.0,568750.0,255000.0,575000.0
211,10FZ1,170000.0,562500.0,175000.0,568750.0
212,10EZ1,160000.0,562500.0,165000.0,568750.0
213,32CN1,140000.0,456250.0,145000.0,462500.0
214,43FN2,95000.0,418750.0,100000.0,425000.0
215,20DZ2,155000.0,500000.0,160000.0,506250.0
216,10DN1,150000.0,556250.0,155000.0,562500.0
217,65DN2,35000.0,387500.0,40000.0,393750.0
218,34AZ2,225000.0,462500.0,230000.0,468750.0
219,43BN1,70000.0,418750.0,75000.0,425000.0
220,21DN2,195000.0,506250.0,200000.0,512500.0
221,17FZ2,255000.0,537500.0,260000.0,543750.0
222,32HN1,170000.0,456250.0,175000.0,462500.0
223,51EZ1,160000.0,387500.0,165000.0,393750.0
224,12GZ1,240000.0,550000.0,245000.0,556250.0
225,30GZ2,85000.0,450000.0,90000.0,456250.0
226,28HN1,250000.0,481250.0,255000.0,487500.0
227,34DZ2,235000.0,450000.0,240000.0,456250.0
228,52GZ2,205000.0,375000.0,210000.0,381250.0
229,10GN2,165000.0,556250.0,170000.0,562500.0
230,16HN1,210000.0,531250.0,215000.0,537500.0
231,21AZ2,185000.0,512500.0,190000.0,518750.0
232,40AZ2,185000.0,437500.0,190000.0,443750.0
233,32FZ2,175000.0,462500.0,180000.0,468750.0
234,08BZ1,270000.0,587500.0,275000.0,593750.0
235,66HN1,10000.0,362500.0,15000.0,368750.0
236,22FN2,255000.0,518750.0,260000.0,525000.0
237,32DN1,150000.0,456250.0,155000.0,462500.0
238,44HZ2,135000.0,400000.0,140000.0,406250.0
239,50CN1,100000.0,381250.0,105000.0,387500.0
240,32FZ1,170000.0,462500.0,175000.0,468750.0
241,32CZ2,145000.0,450000.0,150000.0,456250.0
242,65BN1,30000.0,400000.0,35000.0,406250.0
243,51HN1,170000.0,381250.0,175000.0,387500.0
244,38CN1,100000.0,431250.0,105000.0,437500.0
245,03DN2,235000.0,606250.0,240000.0,612500.0
246,44GN2,125000.0,406250.0,130000.0,412500.0
247,65HN2,55000.0,387500.0,60000.0,393750.0
248,04GZ1,120000.0,575000.0,125000.0,581250.0
249,50EN2,125000.0,393750.0,130000.0,400000.0
250,65HZ2,55000.0,381250.0,60000.0,387500.0
251,07EZ2,245000.0,587500.0,250000.0,593750.0
252,58AN1,180000.0,368750.0,185000.0,375000.0
253,14BZ1,110000.0,537500.0,115000.0,543750.0
254,37HZ2,95000.0,425000.0,100000.0,431250.0
255,13DN1,270000.0,556250.0,275000.0,562500.0
256,43AZ1,60000.0,412500.0,65000.0,418750.0
257,28GZ2,245000.0,475000.0,250000.0,481250.0
258,25CZ1,100000.0,475000.0,105000.0,481250.0
259,17AN1,220000.0,543750.0,225000.0,550000.0
260,26AZ1,140000.0,487500.0,145000.0,493750.0
261,65CZ1,20000.0,381250.0,25000.0,387500.0
262,19DN1,110000.0,506250.0,115000.0,512500.0
263,40DN1,190000.0,431250.0,195000.0,437500.0
264,26GZ1,160000.0,475000.0,165000.0,481250.0
265,45HN2,175000.0,406250.0,180000.0,412500.0
266,57FZ2,175000.0,362500.0,180000.0,368750.0
267,58AZ2,185000.0,362500.0,190000.0,368750.0
268,39CZ1,140000.0,425000.0,145000.0,431250.0
269,49DN2,75000.0,381250.0,80000.0,387500.0
270,41BZ2,235000.0,437500.0,240000.0,443750.0
271,10BZ2,155000.0,562500.0,160000.0,568750.0
272,25HN1,130000.0,481250.0,135000.0,487500.0
273,58EN2,205000.0,368750.0,210000.0,375000.0
274,32CZ1,140000.0,450000.0,145000.0,456250.0
275,68FN1,200000.0,343750.0,205000.0,350000.0
276,55EN2,85000.0,368750.0,90000.0,375000.0
277,39AZ2,145000.0,437500.0,150000.0,443750.0
278,28FZ2,255000.0,487500.0,260000.0,493750.0
279,17EN1,240000.0,543750.0,245000.0,550000.0
280,07CN1,220000.0,581250.0,225000.0,587500.0
281,58BZ2,195000.0,362500.0,200000.0,368750.0
282,03HN1,250000.0,606250.0,255000.0,612500.0
283,51HZ2,175000.0,375000.0,180000.0,381250.0
284,20HZ1,170000.0,500000.0,175000.0,506250.0
285,51GZ1,160000.0,375000.0,165000.0,381250.0
286,11GN1,200000.0,556250.0,205000.0,562500.0
287,28FN2,255000.0,493750.0,260000.0,500000.0
288,49CN2,65000.0,381250.0,70000.0,387500.0
289,40BZ2,195000.0,437500.0,200000.0,443750.0
290,33FZ1,210000.0,462500.0,215000.0,468750.0
291,17HZ1,250000.0,525000.0,255000.0,531250.0
292,37FN2,95000.0,443750.0,100000.0,450000.0
293,34EN1,240000.0,468750.0,245000.0,475000.0
294,33EZ2,205000.0,462500.0,210000.0,468750.0
295,23AZ1,260000.0,512500.0,265000.0,518750.0
296,40GZ1,200000.0,425000.0,205000.0,431250.0
297,07DZ1,230000.0,575000.0,235000.0,581250.0
298,10FN2,175000.0,568750.0,180000.0,575000.0
299,21BZ2,195000.0,512500.0,200000.0,518750.0
300,19EZ1,120000.0,512500.0,125000.0,518750.0
301,35AZ1,260000.0,462500.0,265000.0,468750.0
302,32DZ1,150000.0,450000.0,155000.0,456250.0
303,07HZ2,255000.0,575000.0,260000.0,581250.0
304,16EZ2,205000.0,537500.0,210000.0,543750.0
305,25GN2,125000.0,481250.0,130000.0,487500.0
306,55EN1,80000.0,368750.0,85000.0,375000.0
